AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
@DapperDog,1.0,0.0,0.0,0.0
@DarkViperAU,0.15,0.55,0.0,0.3
@Darwishkhan,0.35,0.6,0.05,0.0
@DaudaKahutuRarara,0.5,0.5,0.0,0.0
@DebRyanShow,0.0,1.0,0.0,0.0
@DeborahRamirez,0.0,0.0,1.0,0.0
@DebrouilleToi,0.2,0.7,0.05,0.05
@DeeSeturumane,0.2,0.4,0.0,0.4
@DeeptiGhaiSharma,0.2,0.75,0.05,0.0
@DeiGamer,0.05,0.85,0.05,0.05
@DeliceKaramella,0.0,0.7368421052631579,0.21052631578947367,0.05263157894736842
@DelikatesCh,0.85,0.15,0.0,0.0
@DenisVlasin,0.21052631578947367,0.6842105263157895,0.10526315789473684,0.0
@DeonAllers,0.5,0.5,0.0,0.0
@DeporloversEs,0.7,0.3,0.0,0.0
@DerSievi,0.3076923076923077,0.5384615384615384,0.0,0.15384615384615385
@DesiHealthTv,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666
@Desiigner,0.55,0.1,0.25,0.1
@Devdondidit,0.2,0.7,0.0,0.1
@Devoun,0.15,0.35,0.0,0.5
@DharmaMovies,0.0,1.0,0.0,0.0
@DianaMunozTV,0.23076923076923078,0.7692307692307693,0.0,0.0
@DieGetuienis,0.15,0.85,0.0,0.0
@DieHardRugby,0.375,0.375,0.1875,0.0625
@DieLochis,0.3333333333333333,0.6666666666666666,0.0,0.0
@DiegoCoello,0.0,0.9444444444444444,0.0,0.05555555555555555
@DienQuanFoodAndLifestyle,0.0,1.0,0.0,0.0
@DieselD199,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0
@DijaGuapas,0.16666666666666666,0.8333333333333334,0.0,0.0
@DineshDisney,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.0
@DiplisElpatrondelflow,0.3333333333333333,0.6666666666666666,0.0,0.0
@DisneyAUNZ,0.0,0.0,0.3333333333333333,0.6666666666666666
@DivaRebecca1,0.26666666666666666,0.6666666666666666,0.06666666666666667,0.0
@DizzyDROS,0.0,1.0,0.0,0.0
@DjFaustoElUrbano,0.0,1.0,0.0,0.0
@DjSwitchSA,0.09090909090909091,0.7272727272727273,0.0,0.18181818181818182
@DocFiles1,0.05,0.55,0.25,0.15
@DonellLewis,0.0,1.0,0.0,0.0
@DongASMR,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0
@DoordarshanNational,0.1,0.85,0.05,0.0
@DosaSchweiz,0.25,0.5,0.0,0.25
@DottieHidee,1.0,0.0,0.0,0.0
@DouDingLaiLe,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285
@DoveMedicalPress,0.05,0.0,0.05,0.9
@DrAndyStapleton,0.1,0.1,0.0,0.8
@DrChrisTisdell,0.5789473684210527,0.15789473684210525,0.0,0.2631578947368421
@DrYahayaYunusTv,0.1,0.75,0.1,0.05
@DraAgustinaHilarioDuran,0.5333333333333333,0.06666666666666667,0.2,0.2
@DrivingwithGloves,0.75,0.125,0.125,0.0
@DstvOfficial,0.3,0.55,0.1,0.05
