"VideoID","duration","height","width","heightXwidth"
"20il2D6G-S0",56,1280,720,921600
"213Mi2ua99I",35,1280,720,921600
"21OHIahDu3g",33,1280,720,921600
"21TqlTQi6Ak",60,1280,720,921600
"21Uo7j-YAck",57,1280,720,921600
"21ZNmcj9Hgg",48,1280,720,921600
"21jvcU19mtw",32,1280,720,921600
"21szckZ3kNI",40,1280,720,921600
"22HD700hB1A",56,720,406,292320
"22NwxaRql9c",28,1280,720,921600
"22X1zshNnks",60,1280,720,921600
"22X6LqsF1u0",33,1280,720,921600
"22Zi-ZgUueQ",14,1280,720,921600
"22ezq5YyXno",12,720,408,293760
"22nXj_xNq2M",31,720,720,518400
"230lC5jI0RU",53,1280,720,921600
"23E8Do7Xok4",56,1280,720,921600
"23HQgfbJbtY",45,1280,720,921600
"23lNBpXsWfI",30,1280,720,921600
"23o4pWWqdL8",57,1280,720,921600
"23pNRwzDqls",20,1280,720,921600
"23uKGfh_100",27,900,720,648000
"23urzkNQIRc",40,1280,720,921600
"24-LnXgG7wM",33,1280,720,921600
"24PTcbnhHt4",60,1080,606,654480
"24RXpGiDDJ8",39,1280,720,921600
"24UbiskP_4M",49,720,720,518400
"24_SM4ozXhs",22,1280,720,921600
"24xS52jWwcg",60,1280,720,921600
"25A9YeQDfT4",37,720,720,518400
"25I1q-y6vic",28,1280,720,921600
"25KTI68pfoY",15,1280,720,921600
